Country,State,Year,Gender,Type Of Action Against The Crime,"Number Of Persons Arrested (UOM:Number), Scaling Factor:1"
India,Chandigarh,"Calendar Year (Jan - Dec), 2022",Transgender,Persons Discharged,0
India,Chandigarh,"Calendar Year (Jan - Dec), 2022",Transgender,Persons Acquitted,0
India,Chandigarh,"Calendar Year (Jan - Dec), 2022",Total (Male+Female+Transgender),Persons Arrested,57
India,Chandigarh,"Calendar Year (Jan - Dec), 2022",Total (Male+Female+Transgender),Persons Charge sheeted,61
India,Chandigarh,"Calendar Year (Jan - Dec), 2022",Total (Male+Female+Transgender),Persons Discharged,0
India,Chandigarh,"Calendar Year (Jan - Dec), 2022",Total (Male+Female+Transgender),Persons Acquitted,10
India,Chandigarh,"Calendar Year (Jan - Dec), 2022",Total (Male+Female+Transgender),,13
India,Chhattisgarh,"Calendar Year (Jan - Dec), 2022",Male,Persons Arrested,2388
India,Chhattisgarh,"Calendar Year (Jan - Dec), 2022",Male,Persons Charge sheeted,2319
India,Chhattisgarh,"Calendar Year (Jan - Dec), 2022",Male,Persons Convicted,614
India,Chhattisgarh,"Calendar Year (Jan - Dec), 2022",Male,Persons Discharged,154
India,Chhattisgarh,"Calendar Year (Jan - Dec), 2022",Male,Persons Acquitted,388
India,Chhattisgarh,"Calendar Year (Jan - Dec), 2022",Female,Persons Arrested,198
India,Chhattisgarh,"Calendar Year (Jan - Dec), 2022",Female,Persons Charge sheeted,198
India,Chhattisgarh,"Calendar Year (Jan - Dec), 2022",Female,Persons Convicted,8
India,Chhattisgarh,"Calendar Year (Jan - Dec), 2022",Female,Persons Discharged,22
India,Chhattisgarh,"Calendar Year (Jan - Dec), 2022",Female,Persons Acquitted,30
India,Chhattisgarh,"Calendar Year (Jan - Dec), 2022",Transgender,Persons Arrested,0
India,Chhattisgarh,"Calendar Year (Jan - Dec), 2022",Transgender,Persons Charge sheeted,0
India,Chhattisgarh,"Calendar Year (Jan - Dec), 2022",Transgender,Persons Convicted,0
India,Chhattisgarh,"Calendar Year (Jan - Dec), 2022",Transgender,Persons Discharged,0
India,Chhattisgarh,"Calendar Year (Jan - Dec), 2022",Transgender,Persons Acquitted,0
India,Chhattisgarh,"Calendar Year (Jan - Dec), 2022",Total (Male+Female+Transgender),Persons Arrested,2586
