Country,State,Year,City Name,Additional Information,"Crime Rate (UOM:Number), Scaling Factor:1","Chargesheeting Rate (UOM:Ratio), Scaling Factor:1","Percentage City Share To Total (UOM:%(Percentage)), Scaling Factor:1","Rank Based On Incidence Or Percentage City Share To Total (UOM:Number), Scaling Factor:1"
India,Rajasthan,"Calendar Year (Jan - Dec), 2017",Jaipur ,,26,,,
India,Tamil Nadu,"Calendar Year (Jan - Dec), 2017",Chennai ,,484,,,
India,Tamil Nadu,"Calendar Year (Jan - Dec), 2017",Coimbatore ,,113,,,
India,Telangana,"Calendar Year (Jan - Dec), 2017",Hyderabad ,,14,,,
India,Uttar Pradesh,"Calendar Year (Jan - Dec), 2017",Ghaziabad ,,1,,,
India,Uttar Pradesh,"Calendar Year (Jan - Dec), 2017",Kanpur ,,0,,,
India,Uttar Pradesh,"Calendar Year (Jan - Dec), 2017",Lucknow ,,16,,,
India,West Bengal,"Calendar Year (Jan - Dec), 2017",Kolkata ,,36,,,
India,Bihar,"Calendar Year (Jan - Dec), 2016",Patna ,,0,,0,18
India,Delhi,"Calendar Year (Jan - Dec), 2016",Delhi City,Data is under clarification.,642,,18,2
India,Gujarat,"Calendar Year (Jan - Dec), 2016",Ahmedabad ,Data is under clarification.,362,,10.2,3
India,Gujarat,"Calendar Year (Jan - Dec), 2016",Surat ,,0,,0,19
India,Karnataka,"Calendar Year (Jan - Dec), 2016",Bengaluru ,,156,,4.4,8
India,Kerala,"Calendar Year (Jan - Dec), 2016",Kochi ,,13,,0.4,15
India,Kerala,"Calendar Year (Jan - Dec), 2016",Kozhikode ,,15,,0.4,14
India,Madhya Pradesh,"Calendar Year (Jan - Dec), 2016",Indore ,,58,,1.6,11
India,Maharashtra,"Calendar Year (Jan - Dec), 2016",Mumbai ,,1218,,34.2,1
India,Maharashtra,"Calendar Year (Jan - Dec), 2016",Nagpur ,,191,,5.4,6
India,Maharashtra,"Calendar Year (Jan - Dec), 2016",Pune ,,189,,5.3,7
India,Rajasthan,"Calendar Year (Jan - Dec), 2016",Jaipur ,,108,,3,9
India,Tamil Nadu,"Calendar Year (Jan - Dec), 2016",Chennai ,,210,,5.9,5
India,Tamil Nadu,"Calendar Year (Jan - Dec), 2016",Coimbatore ,Data is under clarification.,233,,6.5,4
India,Telangana,"Calendar Year (Jan - Dec), 2016",Hyderabad ,,40,,1.1,12
India,Uttar Pradesh,"Calendar Year (Jan - Dec), 2016",Ghaziabad ,Data is under clarification.,0,,0,16
India,Uttar Pradesh,"Calendar Year (Jan - Dec), 2016",Kanpur ,Data is under clarification.,0,,0,17
India,Uttar Pradesh,"Calendar Year (Jan - Dec), 2016",Lucknow ,Data is under clarification.,101,,2.8,10
India,West Bengal,"Calendar Year (Jan - Dec), 2016",Kolkata ,,26,,0.7,13
India,Bihar,"Calendar Year (Jan - Dec), 2015",Patna ,,0,,,
India,Delhi,"Calendar Year (Jan - Dec), 2015",Delhi City,,1176,,,
India,Gujarat,"Calendar Year (Jan - Dec), 2015",Ahmedabad ,,17,,,
India,Gujarat,"Calendar Year (Jan - Dec), 2015",Surat ,,0,,,
India,Karnataka,"Calendar Year (Jan - Dec), 2015",Bengaluru ,,100,,,
India,Kerala,"Calendar Year (Jan - Dec), 2015",Kochi ,,9,,,
India,Kerala,"Calendar Year (Jan - Dec), 2015",Kozhikode ,,20,,,
India,Madhya Pradesh,"Calendar Year (Jan - Dec), 2015",Indore ,,67,,,
India,Maharashtra,"Calendar Year (Jan - Dec), 2015",Mumbai ,,1121,,,
India,Maharashtra,"Calendar Year (Jan - Dec), 2015",Nagpur ,,177,,,
India,Maharashtra,"Calendar Year (Jan - Dec), 2015",Pune ,,160,,,
India,Rajasthan,"Calendar Year (Jan - Dec), 2015",Jaipur ,,118,,,
India,Tamil Nadu,"Calendar Year (Jan - Dec), 2015",Chennai ,,203,,,
India,Tamil Nadu,"Calendar Year (Jan - Dec), 2015",Coimbatore ,,52,,,
India,Telangana,"Calendar Year (Jan - Dec), 2015",Hyderabad ,,48,,,
India,Uttar Pradesh,"Calendar Year (Jan - Dec), 2015",Ghaziabad ,,4,,,
India,Uttar Pradesh,"Calendar Year (Jan - Dec), 2015",Kanpur ,Data is under clarification.,0,,,
India,Uttar Pradesh,"Calendar Year (Jan - Dec), 2015",Lucknow ,,2,,,
India,West Bengal,"Calendar Year (Jan - Dec), 2015",Kolkata ,,23,,,
India,Bihar,"Calendar Year (Jan - Dec), 2014",Patna ,,4,,,
