Country,Year,Gender,Crime Head,Action Against Crime,"Number Of Disposal Persons Arrested For Crime Against Senior Citizen (UOM:Number), Scaling Factor:1"
India,"Calendar Year (Jan - Dec), 2022",Female,Dacoity,Persons Chargesheeted,1
India,"Calendar Year (Jan - Dec), 2022",Female,Dacoity,Persons Convicted,0
India,"Calendar Year (Jan - Dec), 2022",Female,Dacoity,Persons Discharged,0
India,"Calendar Year (Jan - Dec), 2022",Female,Dacoity,Persons Acquitted,0
India,"Calendar Year (Jan - Dec), 2022",Female,Dacoity with Murder,Persons Arrested,0
India,"Calendar Year (Jan - Dec), 2022",Female,Dacoity with Murder,Persons Chargesheeted,0
India,"Calendar Year (Jan - Dec), 2022",Female,Dacoity with Murder,Persons Convicted,0
India,"Calendar Year (Jan - Dec), 2022",Female,Dacoity with Murder,Persons Discharged,0
India,"Calendar Year (Jan - Dec), 2022",Female,Dacoity with Murder,Persons Acquitted,0
India,"Calendar Year (Jan - Dec), 2022",Female,Extortion,Persons Arrested,2
India,"Calendar Year (Jan - Dec), 2022",Female,Extortion,Persons Chargesheeted,0
India,"Calendar Year (Jan - Dec), 2022",Female,Extortion,Persons Convicted,0
India,"Calendar Year (Jan - Dec), 2022",Female,Extortion,Persons Discharged,0
India,"Calendar Year (Jan - Dec), 2022",Female,Extortion,Persons Acquitted,0
India,"Calendar Year (Jan - Dec), 2022",Female,Forgery,Persons Arrested,6
India,"Calendar Year (Jan - Dec), 2022",Female,Forgery,Persons Chargesheeted,3
India,"Calendar Year (Jan - Dec), 2022",Female,Forgery,Persons Convicted,0
India,"Calendar Year (Jan - Dec), 2022",Female,Forgery,Persons Discharged,0
India,"Calendar Year (Jan - Dec), 2022",Female,Forgery,Persons Acquitted,0
India,"Calendar Year (Jan - Dec), 2022",Female,"Forgery , Cheating & Fraud",Persons Arrested,46
India,"Calendar Year (Jan - Dec), 2022",Female,"Forgery , Cheating & Fraud",Persons Chargesheeted,36
India,"Calendar Year (Jan - Dec), 2022",Female,"Forgery , Cheating & Fraud",Persons Convicted,0
India,"Calendar Year (Jan - Dec), 2022",Female,"Forgery , Cheating & Fraud",Persons Discharged,0
India,"Calendar Year (Jan - Dec), 2022",Female,"Forgery , Cheating & Fraud",Persons Acquitted,1
India,"Calendar Year (Jan - Dec), 2022",Female,Fraud,Persons Arrested,9
India,"Calendar Year (Jan - Dec), 2022",Female,Fraud,Persons Chargesheeted,8
India,"Calendar Year (Jan - Dec), 2022",Female,Fraud,Persons Convicted,0
India,"Calendar Year (Jan - Dec), 2022",Female,Fraud,Persons Discharged,0
India,"Calendar Year (Jan - Dec), 2022",Female,Fraud,Persons Acquitted,0
India,"Calendar Year (Jan - Dec), 2022",Female,Grievous Hurt,Persons Arrested,5
India,"Calendar Year (Jan - Dec), 2022",Female,Grievous Hurt,Persons Chargesheeted,13
India,"Calendar Year (Jan - Dec), 2022",Female,Grievous Hurt,Persons Convicted,0
India,"Calendar Year (Jan - Dec), 2022",Female,Grievous Hurt,Persons Discharged,0
India,"Calendar Year (Jan - Dec), 2022",Female,Grievous Hurt,Persons Acquitted,0
India,"Calendar Year (Jan - Dec), 2022",Female,Kidnapping and Abduction,Persons Arrested,1
India,"Calendar Year (Jan - Dec), 2022",Female,Kidnapping and Abduction,Persons Chargesheeted,0
India,"Calendar Year (Jan - Dec), 2022",Female,Kidnapping and Abduction,Persons Convicted,0
India,"Calendar Year (Jan - Dec), 2022",Female,Kidnapping and Abduction,Persons Discharged,0
India,"Calendar Year (Jan - Dec), 2022",Female,Kidnapping and Abduction,Persons Acquitted,0
India,"Calendar Year (Jan - Dec), 2022",Female,Murder,Persons Arrested,13
India,"Calendar Year (Jan - Dec), 2022",Female,Murder,Persons Chargesheeted,11
India,"Calendar Year (Jan - Dec), 2022",Female,Murder,Persons Convicted,0
India,"Calendar Year (Jan - Dec), 2022",Female,Murder,Persons Discharged,0
India,"Calendar Year (Jan - Dec), 2022",Female,Murder,Persons Acquitted,0
India,"Calendar Year (Jan - Dec), 2022",Female,Other IPC Crimes,Persons Arrested,15
India,"Calendar Year (Jan - Dec), 2022",Female,Other IPC Crimes,Persons Chargesheeted,18
India,"Calendar Year (Jan - Dec), 2022",Female,Other IPC Crimes,Persons Convicted,0
India,"Calendar Year (Jan - Dec), 2022",Female,Other IPC Crimes,Persons Discharged,0
