Country,State,Year,City Name,"Actual Population (UOM:Number), Scaling Factor:100000","Number Of Kidnapping And Abduction (UOM:Number), Scaling Factor:1","Charge Sheeting Rate (UOM:Ratio), Scaling Factor:1","Percentage City Share To Total (UOM:%(Percentage)), Scaling Factor:1","Rate Of Total Kidnapping & Abduction (UOM:Ratio), Scaling Factor:1"
India,Telangana,"Calendar Year (Jan - Dec), 2017",Hyderabad,77.5,341,,,
India,Uttar Pradesh,"Calendar Year (Jan - Dec), 2017",Ghaziabad,23.6,532,,,
India,Uttar Pradesh,"Calendar Year (Jan - Dec), 2017",Kanpur,29.2,541,,,
India,Uttar Pradesh,"Calendar Year (Jan - Dec), 2017",Lucknow,29.0,684,,,
India,West Bengal,"Calendar Year (Jan - Dec), 2017",Kolkata,141.1,374,,,
India,Bihar,"Calendar Year (Jan - Dec), 2016",Patna,20.5,822,,,
India,Delhi,"Calendar Year (Jan - Dec), 2016",Delhi,163.1,5925,,,
India,Gujarat,"Calendar Year (Jan - Dec), 2016",Ahmedabad,63.5,376,,,
India,Gujarat,"Calendar Year (Jan - Dec), 2016",Surat,45.8,270,,,
India,Karnataka,"Calendar Year (Jan - Dec), 2016",Bengaluru,85.0,974,,,
India,Kerala,"Calendar Year (Jan - Dec), 2016",Kochi,21.2,14,,,
India,Kerala,"Calendar Year (Jan - Dec), 2016",Kozhikode,20.3,7,,,
India,Madhya Pradesh,"Calendar Year (Jan - Dec), 2016",Indore,21.7,383,,,
India,Maharashtra,"Calendar Year (Jan - Dec), 2016",Mumbai,184.1,1949,,,
India,Maharashtra,"Calendar Year (Jan - Dec), 2016",Nagpur,25.0,509,,,
India,Maharashtra,"Calendar Year (Jan - Dec), 2016",Pune,50.5,851,,,
India,Rajasthan,"Calendar Year (Jan - Dec), 2016",Jaipur,30.7,569,,,
India,Tamil Nadu,"Calendar Year (Jan - Dec), 2016",Chennai,87.0,34,,,
India,Tamil Nadu,"Calendar Year (Jan - Dec), 2016",Coimbatore,21.5,8,,,
India,Telangana,"Calendar Year (Jan - Dec), 2016",Hyderabad,77.5,359,,,
India,Uttar Pradesh,"Calendar Year (Jan - Dec), 2016",Ghaziabad,23.6,368,,,
India,Uttar Pradesh,"Calendar Year (Jan - Dec), 2016",Kanpur,29.2,409,,,
India,Uttar Pradesh,"Calendar Year (Jan - Dec), 2016",Lucknow,29.0,924,,,
India,West Bengal,"Calendar Year (Jan - Dec), 2016",Kolkata,141.1,290,,,
