Country,State,Year,Price Type,"Agriculture, Forestry And Fishing (UOM:INR(IndianRupees)), Scaling Factor:10000000","Mining And Quarrying (UOM:INR(IndianRupees)), Scaling Factor:10000000","Manufacturing (UOM:INR(IndianRupees)), Scaling Factor:10000000","Electricity, Gas, Water Supply And Other Utility Services (UOM:INR(IndianRupees)), Scaling Factor:10000000","Construction (UOM:INR(IndianRupees)), Scaling Factor:10000000","Trade, Repair, Hotels And Restaurants (UOM:INR(IndianRupees)), Scaling Factor:10000000","Transport, Storage, Communication And Services Related To Broadcasting (UOM:INR(IndianRupees)), Scaling Factor:10000000","Financial Services (UOM:INR(IndianRupees)), Scaling Factor:10000000","Real Estate, Ownership Of Dwelling And Professional Services (UOM:INR(IndianRupees)), Scaling Factor:10000000","Public Administration, Defence And Other Services (UOM:INR(IndianRupees)), Scaling Factor:10000000","Other Services (UOM:INR(IndianRupees)), Scaling Factor:10000000","Total Net State Value Added (Nsva) At Basic Prices (UOM:INR(IndianRupees)), Scaling Factor:10000000"
India,Uttarakhand,"Financial Year (Apr - Mar), 2014",Current Prices,14325.73222,2009.406594,52423.311,2801.878224,12213.19258,17086.04798,8440.654447,3949.05413,6198.454307,4868.073,8521.069554,132836.874
India,Uttarakhand,"Financial Year (Apr - Mar), 2014",Constant Prices,11895.54461,1873.810673,47195.55171,3318.119377,10241.12763,14486.1539,7327.096416,3780.734623,5511.755839,3821.086531,7221.682625,116672.6639
India,West Bengal,"Financial Year (Apr - Mar), 2014",Current Prices,158339.1330649,6785.8161697,58838.25796728,9734.902479,51176.8146071,103266.202331,37415.7518053,36589.8169718,76738.6485227,27122.3378014,51189.864032,617197.545782
India,West Bengal,"Financial Year (Apr - Mar), 2014",Constant Prices,120996.987799,6935.48226531,52775.98722968,9309.0663959,47803.0241559,79111.7701211,31550.8838729,34743.69,58545.1700467,20085.7617071,40219.7682812,502077.591875
India,Andaman and Nicobar Islands,"Financial Year (Apr - Mar), 2013",Current Prices,1424.94,135.68,285.80,76.91,389.74,445.78,215.88,190.09,177.92,176.78,227.92,3747.45
India,Andaman and Nicobar Islands,"Financial Year (Apr - Mar), 2013",Constant Prices,5.94,-0.02,0.53,0.87,5.75,4.26,4.27,1.18,3.09,5.92,6.45,38.25
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2013",Current Prices,1205.79,111.74,300.72,67.17,381.87,353.23,374.85,168.08,336.02,138.21,318.44,3756.14
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2013",Constant Prices,1011.63,111.16,270.14,66.03,347.57,308.28,326.55,162.33,293.18,119.9,270.33,3287.1
India,Arunachal Pradesh,"Financial Year (Apr - Mar), 2013",Current Prices,58.99,3.74,1.63,6.01,11.7,6.76,2.79,2.32,4.08,14.33,18.38,130.72
India,Arunachal Pradesh,"Financial Year (Apr - Mar), 2013",Constant Prices,47.98,3.13,1.52,5,10.38,5.79,2.36,2.24,3.67,11.99,15.62,109.67
India,Assam,"Financial Year (Apr - Mar), 2013",Current Prices,339.41,121.9,165.91,17.01,144.41,251.1,84.39,50.73,108.68,76.9,145.02,1505.47
India,Assam,"Financial Year (Apr - Mar), 2013",Constant Prices,295.21,106.38,144.45,13.43,126.34,220.49,73.53,46.41,90.18,64.09,120.9,1301.41
India,Bihar,"Financial Year (Apr - Mar), 2013",Current Prices,678.74,12.91,190.73,25.54,299.09,510.87,225.3,110.35,309.22,123.39,331.12,2817.27
India,Bihar,"Financial Year (Apr - Mar), 2013",Constant Prices,544.87,11.87,169.13,29.04,254.37,448.05,193.86,100.95,265.48,95.53,266.13,2379.27
India,Chandigarh,"Financial Year (Apr - Mar), 2013",Current Prices,1.37,0.02,12.54,2.03,12.14,83.26,10.15,34.81,33.38,12.99,13.47,216.17
India,Chandigarh,"Financial Year (Apr - Mar), 2013",Constant Prices,1.16,0.01,11.58,1.78,10.57,72.9,8.98,33.62,33.38,10.67,11.74,196.41
India,Chhattisgarh,"Financial Year (Apr - Mar), 2013",Current Prices,334.13,183.63,344.05,69.6,214.39,119.52,63.56,66.96,203.26,61.39,85.93,1746.43
India,Chhattisgarh,"Financial Year (Apr - Mar), 2013",Constant Prices,270.61,179.02,324.33,71.36,165.24,104.41,58.75,64.67,172.11,50.45,73.73,1534.69
India,Delhi,"Financial Year (Apr - Mar), 2013",Current Prices,25.2,86.96,220.6,59.06,186.24,524.46,422.61,634.17,874.35,147.11,287.36,3468.12
India,Delhi,"Financial Year (Apr - Mar), 2013",Constant Prices,20.28,72,199.2,50.66,156.71,465.62,387.42,611.64,721.82,122.64,244.44,3052.44
India,Goa,"Financial Year (Apr - Mar), 2013",Current Prices,28.51,0.34,99.17,10.44,15.18,26.4,9.68,21.58,30.07,24.99,15.09,281.45
India,Goa,"Financial Year (Apr - Mar), 2013",Constant Prices,19.95,0.27,92.23,9.39,13.39,22.31,8.45,19.74,25.99,21.16,13.03,245.89
India,Gujarat,"Financial Year (Apr - Mar), 2013",Current Prices,1239.86,173.52,1714.99,191.28,502.73,854.54,319.91,404.8,373.88,185.69,247.95,6209.16
India,Gujarat,"Financial Year (Apr - Mar), 2013",Constant Prices,1116.3,166.15,1530.05,162.24,469.85,769.21,288.6,370.3,326,163.75,224.53,5586.96
India,Haryana,"Financial Year (Apr - Mar), 2013",Current Prices,743.32,2.62,638.17,65.07,335.5,411.71,187.81,145.92,549.21,69.33,156.29,3304.95
India,Haryana,"Financial Year (Apr - Mar), 2013",Constant Prices,607.54,2.36,582.43,12.02,286.46,359.87,172.09,140.92,473.69,58.86,136.12,2832.36
India,Himachal Pradesh,"Financial Year (Apr - Mar), 2013",Current Prices,271.48,7.46,261.82,83.46,147.04,127.82,72.36,64.58,172.37,131.88,153.88,1494.17
India,Himachal Pradesh,"Financial Year (Apr - Mar), 2013",Constant Prices,225.24,5.18,227.88,100.53,134.09,110.50,65.03,60.70,145.01,111.95,133.86,1319.97
India,Jharkhand,"Financial Year (Apr - Mar), 2013",Current Prices,266.42,159.16,339.04,22.2,159.61,151.46,108.08,50.11,132.35,72.68,98.85,1559.96
India,Jharkhand,"Financial Year (Apr - Mar), 2013",Constant Prices,216.68,147.61,310.36,18.45,138.72,132.66,95.13,45.84,113.62,61.26,84.83,1365.17
India,Karnataka,"Financial Year (Apr - Mar), 2013",Current Prices,889.77,52.85,997.13,83.76,557.92,796.99,389.39,354.26,2020.73,161.25,398.73,6702.76
India,Karnataka,"Financial Year (Apr - Mar), 2013",Constant Prices,703.28,47.84,908.18,70.6,504.24,678.49,344.96,341.66,1705.63,137.81,332.12,5774.82
India,Kerala,"Financial Year (Apr - Mar), 2013",Current Prices,440.39,34.41,354.02,37.77,604.57,709.7,315.77,182.21,526.19,146.68,461.52,3813.24
India,Kerala,"Financial Year (Apr - Mar), 2013",Constant Prices,375.41,29.85,322.66,34.32,529.56,598.43,287.09,166.93,474.35,125.26,391.91,3335.77
India,Madhya Pradesh,"Financial Year (Apr - Mar), 2013",Constant Prices,1074.6,104.28,257.52,68.51,328.71,361.24,185.55,182.16,143.49,140.92,180.92,3027.91
India,Maharashtra,"Financial Year (Apr - Mar), 2013",Current Prices,1834.97,416.07,2790.22,268.68,866.5,1257.76,660.29,1472.25,1954.29,349.66,810.22,12680.89
India,Maharashtra,"Financial Year (Apr - Mar), 2013",Constant Prices,1602.35,378.22,2504.79,143.16,749.29,1055.22,599.9,1419.94,1676.87,286.83,706.94,11123.51
